ISBN;EAN;ASIN;Eigenschaft;Class;AX;BX;Autor;Titel;Seiten;Verlag;Bindung;Listenpreis;Datum;Translator;Orginaltitel;Sprache;Orginalsprache;Reihe;Thema;Buchart;Ersterscheinung;Standort;Auflage;Inhalt;Buchnummer;dnb-idns
3865663311;9783865663313.0;3865663311;0;Signatur beachten!;;Pacovska, Kveta;Pacovska, Kveta;Die Nimmes-Nimmes Frau;64.0;Michael Neugebauer Edition (Mineedition);120° (4);39,99 €;2018;;;Deutsch;;;Frau, Häuser, Hühner, Glöckner, Gesicht, Blumen, Trommel, Hahn, Tisch, Bett, Bär, Stift;;- 1;3 -4;;"Die Nimmtes-Nimmtes-Frau ist sehr,
sehr neugierig. Gerne nimmt sie
sich alles, was ihr gefällt. Was mag
wohl in dem Haus sein? Welches
der drei Tellerlein, welches der drei
Löffelchen mögen wohl zu ihr
passen? In welchem Bettchen liegt
man wohl am";4213.0;['1159780323']
;978.0;;8728705;Original;; Westhauser,L. (Ancienne Maison);Ducret, Etienne;Une Partie de Plaisir - Charmanes Scienes a Surprises aux Enfants Sages;16.0;R. Guignard, Paris;180°(4), je 3 parallele Paneel;290,00 €;1910 );;;française;;;Kinder, Wohnzimmer, Schultafel, Bauernhof, Kirmes, Hund, Rind, Bauernhof, Tauben, PfauPicnic, Stickr;;2;K - 1;;Es wird die Geschichte erzählt, dass ein Großvater sine Enkel zu einem Ausflug einlädt, bei dem sie einiges erleben können(?). Das Buch im Querformat hat beim Lesen den Buchrücken unten und kann 180° aufgeschlagen werden, wobei die jeweils 3 Paneelen zwis;4212.0;[]
;978.0;;8716707;Orginal;;N.N.;N.N.;Bluebeard - Pantomuime Toy Books;40.0;McLoughlin Bro's, New York;Halb- u. Viertelseiten;116,98 €;1890 );;;English;;;Scheich,Orientalin, Burg, Palast,Säbel,;;3;K - 8;;n dem Buch wird das Märchen vom reichen König/Scheich Blaubart erzählt, der eine junge Schönheit heiratet und die ein großes Verbrechen aufdeckt, das ihr auch zum Verhängnis werden könnte.Die Geschichte wird einmal als Gedicht und dahinter als Prosa erzäh;4211.0;[]
;978.0;;17301698;Original;;Giraud, S. lLouis;Giraud, S. Louis;Bookano Stories No.11 with  Pictures that spring up in model form;;Strand Pubications, London;180°,Aufziehkulissen;15,00;1944);;;English;;Bookano Stories;Meeresgrund, Hunde, Dame , Schuh, Feen, Palast, Schneckenhaus;;2;1 - 6;;Das Buch enthält ein Sammelsurium von Abenteuer-, Tier-, Sach- und Phantasiegeschichten für Heranwachsende. Dieser Band hat zu anderen Bänden der gleichen Ausgabe unterschiedliche Pop-ups. Die 5 Pop-ups wurden auch schon früher veröffentlicht: 1Down with;268.0;[]
;978.0;;17301698;Original - 1;;Giraud, S. lLouis;Giraud, S. Louis;Bookano Stories No.10 with  Pictures that spring up in model form;;Strand Pubications, London;180°,Aufziehkulissen;9,00 €;1943);;;English;;Bookano Stories;Weihnachtsmann, Schlitten,Rose, Blumenfee,Pfau, Muschel, Baby, Eishöhle, winter;;4;verkauft 21,50 €;;Das Buch enthält ein Sammelsurium von Abenteuer-, Tier-, Sach- und Phantasiegeschichten für Heranwachsende. Die 5 Pop-ups wurden auch schon früher veröffentlicht: 1.Santa Claus in his Sleigh, 2.The Rose Fairy 3.Peacock, 4.The Mermaids Surprise, Snow Fairi;267.0;[]
3417287464;9783417287462.0;3417287464;9502851;Übersetzung GB;;Fischer-Johnson, Paul;Lucado, Max (Text), Martinez, Sergio (Ill.);Du bist einmalig;32.0;SCM R.Brockhaus, Witten;180°(6);6,70 €;2016;;;Deutsch;;;Holzpuppen, Dorf, junge Frau, Fenster, holzschnitzer, Werkstatt,;;1;2 - 1;;Der Bestseller als spielerisches Pop-Up-Buch! Unter dem Holzpuppenvolk der Wemmicks ist es üblich, sich für gute Leistungen mit Sternchen, für schlechte Leistungen dagegen mit Punkten zu bekleben. Punchinello, der mit Punkten bedeckt ist, trifft eines Tag;4210.0;['1098197410']
3868736069;9783868736069.0;3868736069;12358;120°(6);;Dedieu, Thierry;La Fontaine, Jean De;Der Hase und die Schildkröte: Die schönsten Fabeln von La Fontaine;12.0;Knesebeck;Gebundene Ausgabe;6,70 €;2014;;;Deutsch;;;Hase, Schildkröte,Fuchs, Ziege,Reiher, Teich,Fuchs, Storch,olf, Lamm;;1;6 - 2;;Jean de La Fontaines Fabeln sind, obwohl fast 350 Jahre alt, nicht nur sehr unterhaltsam, sondern zugleich auch lehrreich und poetisch und von einem ganz besonderen sprachlichen Reiz. Der voreilige Ziegenbock, der in den Brunnen springt, ohne zu bedenken,;4209.0;['1051045614']
1405242191;9781405242196.0;1405242191;10821699;Übersetzung US;;Hawke, Richard;"Stead, Emily; Relif, Adam (Ill.)";Saturday Night Shaun: (Shaun the Sheep)          A Pop-up Party Adventure!;12.0;Egmont Children's Books;"180°(6); Zug((7)";13,37 €;2008;;;English;;;Bauernhof, Schafe, hund, Hahn, Küche, bauer, Würstchen, Einkaufswagen, Stier, Schaumbad, Party;;3;6 - 6;;Hoof it down to the farm where Shaun the Sheep is in the mood for dancing, in this hilarious pop-up adventure.Follow the flock as they prepare to party, through pages packed with baa-rilliant pop-ups, pull-tab thrills, and lift-the-flap farmyard fun...wit;4208.0;[]
8448802284;9788448802288.0;8448802284;8389651;;;N.N.;Damon, Emma;Gent de tota mena;18.0;Ediciones Beascoa;Kein Pop-up, Klapp;13,00 €;1995;;;katalanisch ?;;;Kinder, Fahrrad, Tandem, Spiele, Sport, Behinderte, Fremde;;1;9 - 2;;"Dieses Buch soll vermutlich Kinder animieren mehr auch mit fremden und ausgegrenzten Kindern zu spielen.

Neukauf - 1";4207.0;[]
3815718228;9783815718223.0;3815718228;8388627;;;N.N.;Ciboul, Adele;Was sind die fünf Sinne?;24.0;Coppenrath, Münster;Dreh-(2), Klapp;19,80 € );1999;;;Deutsch;;;Sinne, Sehen, Fühlen, Nase, Hand, Schmecken, Hören, optische Tricks;;;9 - 2;;"Das Buch stellt die menschlichen Organe zu den 5 Sinnen vor und zeigt auch, was sie können und wie sie getäuscht werden können.

Neukauf. - 1";4206.0;['959093125']
3522301080;9783522301084.0;3522301080;8398099;Übbersetzung GB;;N.N.;Brownjohn, Emma (llL.);Zittern, Bibbern, Schüchtern sein: Angst kennt jeder, Groß und Klein;16.0;Gabriel Verlag; 180°(3), V,, Dreh, Klapp;11,90 €;2007;;;Deutsch;;;Gedühle, Kinder, Klettergerüst, Sport, Rollstuh, Fahrrad;;1;9 - 2;;Angst haben ist ganz normal ... Klappen, drehen und schieben: Wenn die Spinne durch das Bild saust oder die Schlange über die Seite, verliert die Angst vor Tieren etwas von ihrem Schrecken. So ähnlich ist es auch mit den Gespenstern in der dunklen Nacht o;4205.0;['981874207']
9044311840;978904431186.0;9044311840;8585219;Orginal;;N.N.;Abbott, Simon;Mijn Doorkamer;14.0;"Tango Books; The House of Books";Steck, Dreh, Klapp;3,50 €;2004;;;holländisch;;;Zimmer, Pinsel, Farbrolle, Mädchen, Möbel, Bett, Lampe, Spielsachen, Bärchen;;1;9 - 2;;;4204.0;[]
